label,translated_clean_data,cleaned_text
neg,It is not interesting to watch the channels of the native channels or the channels of the native channels.,interesting watch channels native channels channels native channels
ntr,It is the reality of the country to hear the cheeks or not safely,reality country hear cheeks safely
pos,Please do not skip him without order,please skip without order
neg,This is the strange strange of Bangladesh brother here today and not the opposite.,strange strange bangladesh brother today opposite
neg,It is time to retire to Rupam and Retalib,time retire rupam retalib
pos,Wow is beautiful,wow beautiful
pos,Found,found
neg,The video is a big one,video big one
ntr,It will go to the trekker or to add during the submit,go trekker add submit
neg,This is a negative example text.,negative example text
ntr,Brother Habiganj where did your office apply for months online have not yet been contacted,brother habiganj office apply months online yet contacted
neg,This is a negative example text.,negative example text
neg,Some of the RAB killed them in the alleged gun battle as per the rules involved in the crime,rab killed alleged gun battle per rules involved crime
ntr,Robi Sim is giving the network speed now that good quality grandchildren will not increase if you increase the network speed.,robi sim giving network speed good quality grandchildren increase increase network speed
neg,Born in a Muslim house like atheist,born muslim house like atheist
pos,So beautiful,beautiful
neg,"The halarasadharan could not drive the atheist without being hurt by the police, saying that the shawl was saying big.",halarasadharan could drive atheist without hurt police saying shawl saying big
ntr,The comment has given everything to everything and I will write now that the articles will be correct by seeing Shahriar poet.,comment given everything everything write articles correct seeing shahriar poet
neg,Allah will judge the Day of Resurrection not tolerate the torture of such beautiful soft children,allah judge day resurrection tolerate torture beautiful soft children
neg,This is a negative example text.,negative example text
neg,Then say the mistake of the corps dimuna is the money,say mistake corps dimuna money
ntr,Many have been forced to keep politics away for fear of attacking the case.,many forced keep politics away fear attacking case
neg,This is a negative example text.,negative example text
pos,Joyful,joyful
pos,"In fact, I am overwhelmed with the thoughts of big quality people",fact overwhelmed thoughts big quality people
neg,This is a negative example text.,negative example text
neg,Messi is playing less in the match,messi playing less match
ntr,Website is illegal,website illegal
ntr,"Run in the match of Kohli for the best player in the world, now Shakib has seen Shakib's run in the format of Shakib.Give Jan Pran Shakib Al Hasan everyone enjoy the game of Shakib",run match kohli best player world shakib seen shakibs run format shakibgive jan pran shakib al hasan everyone enjoy game shakib
pos,Brother today I can express the joy of seeing you in the language of Nasra today,brother today express joy seeing language nasra today
pos,I am proposing to pass it so I will give a jersey to Barcelona.,proposing pass give jersey barcelona
ntr,Nitai da Dada - Mubile writes - Fine Habi Habi Habi Habi Habi Habi - Now Leptop - Partu is not fine - I disagree directly.,nitai da dada mubile writes fine habi habi habi habi habi habi leptop partu fine disagree directly
neg,Porn sites do not teach good,porn sites teach good
pos,Gosh,gosh
neg,"If you do not have to give the above comment Zuckerberg Sahib to comment on the main country of Bangladesh Agricultural Country, then the sinner tries to understand the sinful brother.",give comment zuckerberg sahib comment main country bangladesh agricultural country sinner tries understand sinful brother
ntr,Not,
neg,I see the bus falls in the jam of Vijay Sarani,see bus falls jam vijay sarani
ntr,Watch,watch
neg,This is a negative example text.,negative example text
neg,Dada Dae Business Business - Many people sit on the side of the silk.🚫,dada dae business business many people sit side silk
pos,The goal interval is clear to see,goal interval clear see
neg,Zaid Khan Ray said,zaid khan ray said
pos,Messi is the best of all time even if the World Cup has not won,messi best time even world cup
neg,It is strange to think that Sri Lanka cricket team was a few days ago Bangladesh.,strange think sri lanka cricket team days ago bangladesh
pos,Congratulations to Tumi Mustafiz Tumi suit you all got all over,congratulations tumi mustafiz tumi suit got
neg,This is a negative example text.,negative example text
neg,I will enjoy only a few benefits and disadvantages everyone,enjoy benefits disadvantages everyone
neg,A piece of hungry dog ​​is the revolutionary heart,piece hungry dog revolutionary heart
pos,Apu has been beautiful,apu beautiful
pos,Bangladesh on the list of richest countries in the world,bangladesh list richest countries world
neg,This is a negative example text.,negative example text
ntr,Hum always trying to save the sav,hum always trying save sav
pos,Congratulations Mashrafe in the first light you are the real boss real hero Selut boss,congratulations mashrafe first light real boss real hero selut boss
neg,"Dhawan, who is reluctant to be named, knows how much knowledge sir does not explain a little",dhawan reluctant named knows much knowledge sir explain little
neg,The occupation of minorities is politically powerful and the law listens to the law.,occupation minorities politically powerful law listens law
pos,The man will remember the body when he is dying when he is dying,man remember body dying dying
neg,I got the time I thought I would register the SIMs and I did not swear.,got time thought would register sims swear
neg,"The Rohingya bodies are pouring on the banks of the Naf river, but Myanmar's military personnel are running towards Bangladesh, but the Rohingya border guards are pushing the Bangladesh border guards back to Myanmar.",rohingya bodies pouring banks naf river myanmars military personnel running towards bangladesh rohingya border guards pushing bangladesh border guards back myanmar
neg,The inferior murderers of the world of guerrillas have heard of the guys in the mouth of the sinner of the sinners for so long.,inferior murderers world guerrillas heard guys mouth sinner sinners long
ntr,Sonali thought of childhood,sonali thought childhood
neg,Dad,dad
pos,As well as listening,well listening
pos,The country is now at speed,country speed
ntr,"There is no alternative to good coaches, not just the coach will not work with a Shakib Tamim and Mushfiq, without a good game, where the batting player is not different after the departure of the batting top order and the TAIL is not different, and the bowling is not only limited to the weakness of the vulnerability.",alternative good coaches coach work shakib tamim mushfiq without good game batting player different departure batting top order tail different bowling limited weakness vulnerability
pos,Hit only then the most suitable blogger book to write politics is confirmed,hit suitable blogger book write politics confirmed
neg,"When you see the chicken poet, I know why the day goes bad as the shala in the shala",see chicken poet know day goes bad shala shala
ntr,"I read the post at night very well -known creative analysis is the most good thing that describes each line in such a way that the post does not bother to read the post, adding that the off the ball movement is currently Messi's rival in the Iniesta de Bruyne Ronaldo of the ball.",read post night well known creative analysis good thing describes line way post bother read post adding ball movement currently messis rival iniesta de bruyne ronaldo ball
ntr,Ghazi Bhai how did I like to read the comments less,ghazi bhai like read comments less
pos,Just,
ntr,Well said,well said
neg,The government will escape the country or so VAT,government escape country vat
neg,This is a negative example text.,negative example text
pos,Many thanks brother,many thanks brother
ntr,This is a neutral example text.,neutral example text
neg,Book,book
neg,The guy,guy
pos,Thanks Shoaib can evaluate another speed of one of the best speeds,thanks shoaib evaluate another speed one best speeds
ntr,Curiosity,curiosity
neg,They may have to pay taxes like money a month,may pay taxes like money month
neg,"After the investigation, it will be understood where his real house is and the purpose of saying Gopalganj",investigation understood real house purpose saying gopalganj
neg,"Despite commenting, I died.",despite commenting died
neg,They like to express the lunatic of the crazy circus as a Joker,like express lunatic crazy circus joker
pos,Brother thanks to tell the truth,brother thanks tell truth
neg,Bhacatra's brokers say no,bhacatras brokers say
pos,Grameenphone job opportunities without experience give the opportunity to visit friends,grameenphone job opportunities without experience give opportunity visit friends
pos,The poem is wonderful,poem wonderful
neg,Brother BJP has started mischief in the country that they ended the country.,brother bjp started mischief country ended country
ntr,Ne Beachi's brother,ne beachis brother
pos,Like pretty poetry,like pretty poetry
ntr,This is a neutral example text.,neutral example text
pos,"Where will I retire for ten more years, where can I get relaxed entertainment.",retire ten years get relaxed entertainment
neg,The admin is sitting on the social site to write in the mattress,admin sitting social site write mattress
neg,"Crime will never take help of a foul SIM, maybe know the good means because the world is lacking or the government is not taking people to the most valuable assets of hostage life.",crime never take help foul sim maybe know good means world lacking government taking people valuable assets hostage life
neg,This is a negative example text.,negative example text
ntr,Water is also beneficial in the heat,water also beneficial heat
neg,This is a negative example text.,negative example text
neg,"The first time I installed the new Ubuntu, I gave the first time that the next time I see the connect does not come.",first time installed new ubuntu gave first time next time see connect come
neg,This is a negative example text.,negative example text
pos,Mashrafe saw good people and crying came in happiness,mashrafe saw good people crying came happiness
neg,Often the problem website is not working properly on Rajuk's Internet server.,often problem website working properly rajuks internet server
pos,Experience some fear will be some joy memories travel to St. Martin,experience fear joy memories travel st martin
pos,Like,like
ntr,Listen Shakib Bhai Bhai Bhai Bhai Bhalai Leader is the leader of the movie story technician was very weak.Maltimedia Kinu Kolkata Herods are prioritizing the shooting of the Shudu movie to keep in mind to keep in mind.,listen shakib bhai bhai bhai bhai bhalai leader leader movie story technician weakmaltimedia kinu kolkata herods prioritizing shooting shudu movie keep mind keep mind
ntr,"In writing, it has been much more political than writing out of the humor, but it is not said whether the allies will play a role in increasing.",writing much political writing humor said whether allies play role increasing
pos,Ronaldo gave Mario Gotz Better,ronaldo gave mario gotz better
neg,And Kulanga Ra of West Bengal speaks big,kulanga ra west bengal speaks big
neg,Sala Harami,sala harami
ntr,I do not understand when you are going to the station every week when you are on the way to Sylhet again and again.,understand going station every week way sylhet
pos,Well wrote,well wrote
neg,What made so many doctors in the country to go abroad all things,made many doctors country go abroad things
neg,I heard that at one time the Jamaat or Awami League were also accompanied by,heard one time jamaat awami league also accompanied
neg,Dr Zakir Naik was not acceptable because of any exile of the conversation that Dr Zakir Naik Nisidh was looking for as much as India's Kulangar Ra Dai Bharat Zakir Naik was looking for Nissid and Bangladesh was making issues.,dr zakir naik acceptable exile conversation dr zakir naik nisidh looking much indias kulangar ra dai bharat zakir naik looking nissid bangladesh making issues
neg,The name of the tradition is the scandal of the name,name tradition scandal name
pos,Much better decision,much better decision
neg,These are choda,choda
pos,Unparalleled,unparalleled
neg,One such student will be punished all over the country in every center of the country like such an abal.,one student punished country every center country like abal
neg,BCB should file a India scandal case in the international court,bcb file india scandal case international court
neg,You should keep the option of reporting comment,keep option reporting comment
pos,Fan,fan
pos,Love brother much more,love brother much
neg,Gomez will take up if someone's head is bad,gomez take someones head bad
pos,Hee hee hee,hee hee hee
pos,The dream of a lifetime is true,dream lifetime true
ntr,Expired vehicle,expired vehicle
neg,These Raghav Boal Ra will buy the SIM in the name of the big houses. How many ghat water will be read today.,raghav boal ra buy sim name big houses many ghat water read today
neg,This is a negative example text.,negative example text
pos,Hope and national team play in the national team but today and the world is giving up the boy in our area,hope national team play national team today world giving boy area
neg,Out Shamim Osman while hitting sixes,shamim osman hitting sixes
neg,The boundary of something needs to be a border,boundary something needs border
pos,Salute you,salute
ntr,Mystery,mystery
pos,Dutch Bangla Bank is recruiting newcomers for the post of entry officer without the experience of today's best job news.,dutch bangla bank recruiting newcomers post entry officer without experience todays best job news
pos,I also got to get your response thanks to you,also got get response thanks
neg,Shoes,shoes
ntr,"In fact, politics is going on in the country and everyone is running for a while the court will not solve the logic for a while.",fact politics going country everyone running court solve logic
neg,If you say Messi Dochao Hala Madari Ra will wake up,say messi dochao hala madari ra wake
pos,Mama likes the song so much after downloading the mobile and I know again and again on YouTube.,mama likes song much downloading mobile know youtube
pos,I was happy to get the news together,happy get news together
neg,Horse -egg,horse egg
ntr,Ooo is the beginning of the winter country picnic Mausum June,ooo beginning winter country picnic mausum june
neg,"It is a great example of secularism that the real Islam has never learned to kill the religion and kill the religion of the country, even though it is a great example of secularism, and however, Islam does not seek the donkey researcher.Bikka Buira is the age of Sathiya",great example secularism real islam never learned kill religion kill religion country even though great example secularism however islam seek donkey researcherbikka buira age sathiya
neg,"The demand for the time to move the papaya is the result of the ego of the papan, the number of dickers does not give Pakistan the Pakistani who does not give the champion champion success or not long -term plan.",demand time move papaya result ego papan number dickers give pakistan pakistani give champion champion success long term plan
pos,You are proud of many very many best wishes,proud many many best wishes
pos,"Pillars are not just just like an empty cows, spaning span is sitting after one",pillars like empty cows spaning span sitting one
neg,This is a negative example text.,negative example text
pos,Brother should be fed,brother fed
neg,Wolly Pizzi is Realma's sin said it,wolly pizzi realmas sin said
neg,RA Reporter is drunk or India's lick broker,ra reporter drunk indias lick broker
pos,I would not understand the lines by reading the bar and I do not understand love dear dear Evuda,would understand lines reading bar understand love dear dear evuda
pos,Dear Book Thanks so much,dear book thanks much
neg,Theresa May condemned Trump's Muslim sanctions in the face of the cannon,theresa may condemned trumps muslim sanctions face cannon
neg,Beachy ray not to be insulted brother,beachy ray insulted brother
pos,Tamim Iqbal is good cricketer Shakib and Mushfiqur are very experienced,tamim iqbal good cricketer shakib mushfiqur experienced
neg,Everyone raises the chicken poet Razakar Shala Bangla.,everyone raises chicken poet razakar shala bangla
neg,So it has been happening in the saying for ages,happening saying ages
pos,Thanks dear intervals,thanks dear intervals
neg,The Shalara is raising the Pakistanis and raging anger,shalara raising pakistanis raging anger
ntr,The best troll 😂,best troll
ntr,If the brother stars is the case to give treatment,brother stars case give treatment
pos,Much,much
neg,Governments and parties have broken the unity of the people and put people helplessly to the competition with Pupa,governments parties broken unity people put people helplessly competition pupa
pos,"As usual Nature is saying and talking like this, most of the time people have become more enthusiastic about things to know about Linux things.",usual nature saying talking like time people become enthusiastic things know linux things
pos,Con Dada looks pretty,con dada looks pretty
neg,"Woe to Hasina, the government does not think human beings and no man is a man of Pharaoh is a successor",woe hasina government think human beings man man pharaoh successor
pos,The right decision,right decision
pos,Thanks for sharing nice,thanks sharing nice
neg,Haturasing's first success in destroying Bangladesh cricket,haturasings first success destroying bangladesh cricket
neg,Roll toward Ahmari Student or Stolen Old Idea is running with things that are not made of tao.,roll toward ahmari student stolen old idea running things made tao
neg,India's friend does not want,indias friend want
neg,This is a negative example text.,negative example text
pos,Liking song,liking song
neg,The nation can get to the brokers,nation get brokers
neg,The country is the spineless proof again,country spineless proof
ntr,Valverde knows well,valverde knows well
neg,"I did not understand the crush on the balka, I took Baldar and everyone was watching the drama.",understand crush balka took baldar everyone watching drama
ntr,Thus Messi is the man aliens today,thus messi man aliens today
pos,CSE Gulare will dance at your wedding,cse gulare dance wedding
pos,Looked good,looked good
neg,How many teeth can be seen in Shala,many teeth seen shala
neg,"You do not obey these words in your mouth, you will never be able to identify the real culprit.",obey words mouth never able identify real culprit
neg,"Yes yes, the murderer's party does not kill unarmed poor Bangladeshi farmers for a long time",yes yes murderers party kill unarmed poor bangladeshi farmers long time
pos,Many cute mash Allah,many cute mash allah
pos,"Brother, how do you write such beautiful words, I ate the crush of your words",brother write beautiful words ate crush words
neg,Here is how the book sells the book,book sells book
neg,"In fact, I used to call you a captain of the country's independence so far against Islam, not actually wanting to make the country, if there is nothing in mind the country and the ten.",fact used call captain countrys independence far islam actually wanting make country nothing mind country ten
ntr,Even though not writing about chicken thieves,even though writing chicken thieves
neg,This is a negative example text.,negative example text
ntr,Bundesliga and playing football,bundesliga playing football
pos,Many thanks ... This year's New Year Panta Hilsa Katla fish does not taste konota ...,many thanks years new year panta hilsa katla fish taste konota
neg,This is a negative example text.,negative example text
ntr,Impart,impart
neg,Halter,halter
neg,"Ayan Bhai many thanks to this topic, when there was enough of the topic, when Tita became too much, the brother Linuxer was cheerful.",ayan bhai many thanks topic enough topic tita became much brother linuxer cheerful
neg,"If the writing is a little understanding, the burden is that the state is going well or in Myanmar or Saudi Arabia, if good people cannot be good people, good Muslims do not mean good Hindus to be good Buddhist Christians.",writing little understanding burden state going well myanmar saudi arabia good people good people good muslims mean good hindus good buddhist christians
neg,"Mirza Fakhrul said, “The BNP has come to the most critical moment in the history of Bangladesh.",mirza fakhrul said bnp come critical moment history bangladesh
pos,The mind is not good after listening to the song,mind good listening song
neg,Prothom-alo and chicken poets match the pulse with each other,prothomalo chicken poets match pulse
pos,Many thanks,many thanks
neg,How many are dogs and bad chicken poets,many dogs bad chicken poets
pos,Beautiful,beautiful
neg,The first wife of the groom did not allow him to get married or to get married second.,first wife groom allow get married get married second
pos,Mom,mom
neg,I heard that Palti Nise or Tasrif brother,heard palti nise tasrif brother
neg,There are no calculations of how many millions of people have gone to the stock market of Bangladesh,calculations many millions people gone stock market bangladesh
ntr,Shahriar Kabir's chicken will tell anyone who knows a poet,shahriar kabirs chicken tell anyone knows poet
ntr,"Tough league, however, do not with the Defense to play with ATAKING Football League Goal",tough league however defense play ataking football league goal
pos,Unstable song,unstable song
pos,Joy,joy
pos,The restless brother,restless brother
neg,Not see the ad on the ad on the ad.,see ad ad ad
neg,This is a negative example text.,negative example text
ntr,Maria could not play before you knew that it could come down as sub,maria could play knew could come sub
neg,Never got and never got any chance of getting,never got never got chance getting
neg,This is a negative example text.,negative example text
neg,The name Abul Maal speaks of Talbetal movement under pressure,name abul maal speaks talbetal movement pressure
neg,This is a negative example text.,negative example text
pos,Like thanks…,like thanks
pos,"In a word, I got a lot of urgent information that will come in handy",word got lot urgent information come handy
neg,It's the so -called nobility now,called nobility
neg,"If you say these things, there will be no job",say things job
pos,"Taskin and Sunny's bowling action is valid, saying that the ICC can now make the ball in international matches to be a good ball against the empty India.",taskin sunnys bowling action valid saying icc make ball international matches good ball empty india
pos,Many thanks,many thanks
pos,This time I read every line of great love to the articles of you,time read every line great love articles
ntr,"The sky was worn by the new model of the iPhone, the prices of the old hopes of hope, the price of the more low iPhone thousands of rupees.",sky worn new model iphone prices old hopes hope price low iphone thousands rupees
neg,Foul,foul
neg,"Day after day, you can not get patience and get a big run for how many days will I see how many days are playing bad shots.",day day get patience get big run many days see many days playing bad shots
pos,Brother is writing new,brother writing new
neg,This is a negative example text.,negative example text
neg,"When I get older, the head is hanging up and the opposite begins",get older head hanging opposite begins
neg,"The walls of the wall have been opposite to Bangladesh, but Hasina has its own power busy with the illegal entry of the neighboring terrorists, if there is no illegal power in the fate of Bangladesh.",walls wall opposite bangladesh hasina power busy illegal entry neighboring terrorists illegal power fate bangladesh
neg,Inhuman,inhuman
neg,"Although the so -called Selector and Management Test year has experience, the player is still unaware that a player's international match is the key to getting a talent temperament approach to the Successes to get the pressure of the Successor and how many wickets a player took a wicket.Hall wicket runs scored and wicket Neil and team management to visualize the team management, whether the quality of the ball to run against the batsman bowlers, is a very unique example of the seal and team management.Mark My Words, who have the opportunity to be in the national team",although called selector management test year experience player still unaware players international match key getting talent temperament approach successes get pressure successor many wickets player took wickethall wicket runs scored wicket neil team management visualize team management whether quality ball run batsman bowlers unique example seal team managementmark words opportunity national team
neg,King Queen and Chumarani,king queen chumarani
neg,Bangladesh cricket is the only joy and love of the common people to destroy the economy destruction of education,bangladesh cricket joy love common people destroy economy destruction education
pos,Fascinating,fascinating
neg,Lucky is no longer seen below,lucky longer seen
neg,The right -reckless advertisement nobody likes e,right reckless advertisement nobody likes e
pos,'Open your Canada door',open canada door
neg,"This morning, if the thief is caught in Kuwait this morning, as a result of giving extra good medium, as far as I know many older brothers, the death of the younger brother does not have the humanity of the human thief, and the human being is forgiven.The thief is not a crime, but as many as stealing the death penalty, the thief has gone to the beginning of one of the best universities in Bangladesh, how cruel we are.",morning thief caught kuwait morning result giving extra good medium far know many older brothers death younger brother humanity human thief human forgiventhe thief crime many stealing death penalty thief gone beginning one best universities bangladesh cruel
pos,Voyage,voyage
neg,Mirzafar,mirzafar
ntr,"The most aromatic rose in the world is wild roses to match the low papari to the footer's flower flower commercial garden, but the forest is still multiplied.",aromatic rose world wild roses match low papari footers flower flower commercial garden forest still multiplied
neg,May Allah forgive God asking for apologize to the chicken baby poet.,may allah forgive god asking apologize chicken baby poet
neg,The man is confusing everyone has a problem with one thing at one time,man confusing everyone problem one thing one time
neg,That's the real purpose,thats real purpose
pos,There will be problems with the big Problem big problem that is solved by resolving it will be able to go through the bridge soon.,problems big problem big problem solved resolving able go bridge soon
neg,Jump,jump
neg,Shahriar's poet's dog wants to urinate in his face,shahriars poets dog wants urinate face
neg,Babaji's name Babaji will not throw the movement of BNP Jamaat and they will hide in the hole of rat.,babajis name babaji throw movement bnp jamaat hide hole rat
neg,"Forest Department Forest Department Forest Department of the country prove the killing of Bangla Bahadur, while the government of Dhaka gets part of the deer or if the destruction is not the destruction of the innocent animals of the ears.",forest department forest department forest department country prove killing bangla bahadur government dhaka gets part deer destruction destruction innocent animals ears
ntr,Magistrate Post Viewsilam MC Q was stained on the magistrate with a few steps in the corps,magistrate post viewsilam mc q stained magistrate steps corps
ntr,The stepp of the three files given with the modem of the account set up is no longer required,stepp three files given modem account set longer required
neg,Type Card is not for anyone Nesesari actually deliver dollars at high conversion rate of BD Local Bank directly to the strong Competitor Field like Pionea,type card anyone nesesari actually deliver dollars high conversion rate bd local bank directly strong competitor field like pionea
neg,This is a negative example text.,negative example text
neg,Not,
neg,This is a negative example text.,negative example text
ntr,Tiger Zinda Hai,tiger zinda hai
pos,"Thanks to Mashrafe Boss so much better than such protests, and the whole world's ego in Saudi Arabia, Hafez was first in the Quran, Nazmus Shakibatchara used to say that they were the first to be in Qatar.The name of the world resurrection is always in the face of the slaves of the Day of Resurrection.",thanks mashrafe boss much better protests whole worlds ego saudi arabia hafez first quran nazmus shakibatchara used say first qatarthe name world resurrection always face slaves day resurrection
pos,Look beautiful,look beautiful
neg,Finger,finger
pos,Thanks Dear gentle,thanks dear gentle
ntr,Mint I saw the new forum in the new forum I could not see the details on the Linux Mint site.,mint saw new forum new forum could see details linux mint site
pos,There will be no educated unemployed in Bangladesh,educated unemployed bangladesh
pos,Congrats are good,congrats good
pos,In the presence of many gratitude and the best of luck,presence many gratitude best luck
ntr,No,
neg,Banking health education is the most corruption in passports and landmarks,banking health education corruption passports landmarks
pos,Rye is the best because the year is bigger than Messi,rye best year bigger messi
neg,To bring out the limits to bring the boundaries to the appropriate punishment,bring limits bring boundaries appropriate punishment
ntr,The other also agreed to pay fully,also agreed pay fully
neg,This is a negative example text.,negative example text
neg,"In Bangladesh, the day will be spent well today in the sky how many Kohli can be told in the air, he will not be able to down the same way like a heroic man given from the sideline.",bangladesh day spent well today sky many kohli told air able way like heroic man given sideline
neg,"When he is old, he becomes an unrealistic Abdar",old becomes unrealistic abdar
pos,Try Ubuntu Mode Bangla was looking like a nice,try ubuntu mode bangla looking like nice
neg,By this time Arindam Kahaila is sad,time arindam kahaila sad
neg,The sample of the invitation of the invitation of the Huzur Chilla,sample invitation invitation huzur chilla
pos,Good One Brother Thanks U,good one brother thanks u
neg,This is a negative example text.,negative example text
pos,Hahahaha is hard to score when the defense remains too tight,hahahaha hard score defense remains tight
neg,This is a negative example text.,negative example text
neg,Awami League habit,awami league habit
neg,Ganja and Yaba consumers in the government or good people do not get good people as they run the country where irregularities and irregularities are eaten in the opposite direction.,ganja yaba consumers government good people get good people run country irregularities irregularities eaten opposite direction
neg,Thacka,thacka
pos,R,r
neg,Ratan Ratan China Shuyar China Kachu Atheism This is never the culture of Muslims,ratan ratan china shuyar china kachu atheism never culture muslims
neg,Failure is the government,failure government
pos,Beautiful,beautiful
neg,"Oh, I see the stallman of the stallman, Amritbani in the father -in -law of the father",oh see stallman stallman amritbani father law father
neg,Lamazhabi is the evidence of the goods made by the British,lamazhabi evidence goods made british
ntr,"Of course today in a group of friends, I saw that there was no reference, I was sure that I used the Internet as a reference or not the way.",course today group friends saw reference sure used internet reference way
neg,"Criminals thought so stupid and if the SIM register, the criminal will be able to catch the criminals and try to do another.",criminals thought stupid sim register criminal able catch criminals try another
pos,South Africans also saw comments,south africans also saw comments
pos,Brother became a fan waiting on the replay,brother became fan waiting replay
neg,"The money played for all of them, who did not find the war and did not see the war and was spending the day in the state.",money played find war see war spending day state
neg,You are cum syrralisos,cum syrralisos
pos,The experience is really funny,experience really funny
ntr,Unity sources do not know that Lau Ahl Khabish Pir can not worship the honor.,unity sources know lau ahl khabish pir worship honor
ntr,This is a neutral example text.,neutral example text
neg,"People like chicken Kabir made the Prothom-alo magazine as the intellectual nation's extreme disappointment, but people did not expect better comments to the Birdarpar like a freedom fighter as a freedom fighter today.",people like chicken kabir made prothomalo magazine intellectual nations extreme disappointment people expect better comments birdarpar like freedom fighter freedom fighter today
neg,"If the Eye Eye is passed, the rape will be multiplied, then it will be seen that the rape of a wealthy girl will be the size of the marriage.",eye eye passed rape multiplied seen rape wealthy girl size marriage
neg,Surely the BTRC did not take any balance of any money in life,surely btrc take balance money life
neg,Country is the first contract to sell,country first contract sell
neg,Barsa's condition is to be excluded like a cancer patient.,barsas condition excluded like cancer patient
neg,This is a negative example text.,negative example text
pos,I enjoyed the moment of thanks to the Wi Phone Authority to give you the opportunity to gain such thrilling experience,enjoyed moment thanks wi phone authority give opportunity gain thrilling experience
neg,Gomez could not be heard at night,gomez could heard night
neg,Officials remember that the cattle man smuggled tunnel was being used to use in both functions,officials remember cattle man smuggled tunnel used use functions
pos,"But this time the South African team, who is tired of losing the opposite, may have begun to think that the India team will agree when the first light is the Prothom-alo.",time south african team tired losing opposite may begun think india team agree first light prothomalo
neg,Ginny Poor money will loot the money to leave the technique,ginny poor money loot money leave technique
neg,Bribe,bribe
neg,This is a negative example text.,negative example text
pos,"Mustafiz needed in the middle, it seems that the short -lived Taskin deficiency is filled with Dilwinandan Tigers ♥ π.",mustafiz needed middle seems short lived taskin deficiency filled dilwinandan tigers
neg,"The criminal is to speak the truth in the name of Sheikh Hasina, opposing the Awami League in Buja",criminal speak truth name sheikh hasina opposing awami league buja
neg,Where is the moderator of the Muslims today Sultan Erdo ।an,moderator muslims today sultan erdo
neg,"And the parents are now running on the system, they are also seeking good results without being updated.",parents running system also seeking good results without updated
pos,The words so good,words good
pos,The interest in seeing increased,interest seeing increased
neg,The brothers are more necessary to abolish 😑😒,brothers necessary abolish
neg,Chicken poet appeared again ha ha ha,chicken poet appeared ha ha ha
pos,Good news,good news
neg,The law will go to the jail of Parita to support India in India,law go jail parita support india india
neg,The people of Bengal are very annoyed to hear one thing repeatedly to hear one thing,people bengal annoyed hear one thing repeatedly hear one thing
ntr,No,
pos,The song is as good as I hear,song good hear
ntr,Nurul Islam Kaka Mansion,nurul islam kaka mansion
neg,Maybe the next update may come to the next update to avoid rape is the biometric method of male sex is mandatory,maybe next update may come next update avoid rape biometric method male sex mandatory
ntr,It is not a kisui to do politics of consciousness of consciousness,kisui politics consciousness consciousness
neg,"Due to the loose marka conversation, the current community is active in the current community, no one does not like the community condition day by day.",due loose marka conversation current community active current community one like community condition day day
neg,This is a negative example text.,negative example text
neg,PLEASE YOU NEED COCH COCH COOCH A. He has rightly said that the coach's work is not understood by the authorities do not understand the game.,please need coch coch cooch rightly said coachs work understood authorities understand game
neg,This is a negative example text.,negative example text
neg,Well quota in government jobs,well quota government jobs
pos,Love ray brother so much love,love ray brother much love
neg,Now the Indian umpire in Kathmander,indian umpire kathmander
ntr,Release Claus Million Euro ✌,release claus million euro
neg,"If the police stand up, you will become lame",police stand become lame
neg,I remember that too,remember
pos,Looking forward to successful implementation,looking forward successful implementation
neg,Rhythm,rhythm
neg,Several videos last year went viral,several videos last year went viral
neg,Kylene and gave the title to the head,kylene gave title head
neg,"The man who used the traditional film or theft of human chickens during the Great War of Liberation to know how true it is to supply the invaders, but whatever the Kalsap name is Jews inside the Muslim.",man used traditional film theft human chickens great war liberation know true supply invaders whatever kalsap name jews inside muslim
neg,This is a negative example text.,negative example text
pos,Best midfielder in the world,best midfielder world
neg,"Yes, one person is registering for another money and you are easy to identify the crime.",yes one person registering another money easy identify crime
neg,"Do not win the cup with the World Cup finals more than win the game and win Ha, so many big achievements are not with the help of others.",win cup world cup finals win game win ha many big achievements help others
pos,"Brother love when I see no one, I saw writing",brother love see one saw writing
pos,Nice to watch the video and watch the video every salute,nice watch video watch video every salute
neg,The Indian umpire complains of England,indian umpire complains england
pos,"Wishing you the answer to your reply, your future is shining like the bright stars",wishing answer reply future shining like bright stars
neg,This year's book fair will take a small half -educated place of educated.,years book fair take small half educated place educated
pos,Don't say no,dont say
neg,Excessive confidence cannot go to the Afghan World Cup but the responsible extra confidence has been the key coach for a few days say that no one has spoken to Windies Ireland Zimbabwe not to confirm the game in the World Cup.,excessive confidence go afghan world cup responsible extra confidence key coach days say one spoken windies ireland zimbabwe confirm game world cup
neg,Ramos is the name of the abuse,ramos name abuse
neg,Political inefficiency Jamaat -e -Jamaatwartek Corruption Player and Grenade Bomb's thoughts have made the BNP so fragile in nothing to prove themselves saintly.,political inefficiency jamaat e jamaatwartek corruption player grenade bombs thoughts made bnp fragile nothing prove saintly
pos,Member of the Month Barcelona jersey is appealing to any masculine.,member month barcelona jersey appealing masculine
pos,Bangla loves love,bangla loves love
neg,"Shala is surprised to hear that you are not straight to death when you die straight, then there will be no time.",shala surprised hear straight death die straight time
neg,Thaika has not received the Randid today and does not seem to get it,thaika received randid today seem get
pos,It's got gold at the price of good silver,got gold price good silver
pos,Taskin,taskin
